,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches(Last 3 hours),Snow inches (Last 3 hours)
116,Lavrentiya,RU,2020-02-22 17:04:11,65.58,-171.0,-16.87,99,87,4.41,overcast clouds,0.0,0.0
117,Gamba,GA,2020-02-22 17:04:12,-2.65,10.0,79.86,87,99,6.06,light rain,1.69,0.0
118,Pemangkat,ID,2020-02-22 17:04:12,1.17,108.97,75.15,91,100,7.56,overcast clouds,0.0,0.0
119,Broome,US,2020-02-22 17:04:12,42.25,-75.83,37.99,55,1,8.05,clear sky,0.0,0.0
120,Illoqqortoormiut,US,2020-02-22 17:04:12,42.25,-75.83,37.99,55,1,8.05,clear sky,0.0,0.0
121,Carnarvon,AU,2020-02-22 17:04:12,-24.87,113.63,77.0,83,40,8.05,scattered clouds,0.0,0.0
122,San Patricio,MX,2020-02-22 17:04:12,19.22,-104.7,80.6,78,75,7.52,broken clouds,0.0,0.0
123,Tiksi,RU,2020-02-22 17:04:13,71.69,128.87,-10.79,91,92,9.78,overcast clouds,0.0,0.0
124,Sabang,ID,2020-02-22 17:01:41,5.89,95.32,83.16,74,12,26.6,light rain,0.75,0.0
125,Kabanjahe,ID,2020-02-22 17:04:13,3.1,98.49,77.0,94,40,3.36,mist,0.0,0.0
126,Ginda,IN,2020-02-22 17:04:13,30.69,78.49,44.55,76,11,5.41,few clouds,0.0,0.0
127,New Norfolk,AU,2020-02-22 17:04:13,-42.78,147.06,55.4,76,90,6.93,overcast clouds,0.0,0.0
128,Lorengau,PG,2020-02-22 17:04:14,-2.02,147.27,82.36,74,1,7.67,clear sky,0.0,0.0
129,Agadez,NE,2020-02-22 17:04:14,19.75,10.25,75.15,13,83,12.01,broken clouds,0.0,0.0
130,Maldonado,UY,2020-02-22 17:04:14,-34.67,-54.92,68.0,60,75,12.75,broken clouds,0.0,0.0
131,Storforshei,NO,2020-02-22 17:04:14,66.4,14.52,34.0,92,99,10.0,light snow,0.0,1.0
132,Mount Isa,AU,2020-02-22 17:04:14,-20.73,139.5,84.2,54,90,6.93,overcast clouds,0.0,0.0
133,Beloha,MG,2020-02-22 17:04:15,-25.17,45.05,76.82,84,40,2.3,moderate rain,3.06,0.0
134,Nome,US,2020-02-22 17:04:15,64.5,-165.41,-23.8,74,1,3.58,clear sky,0.0,0.0
135,Tucurui,BR,2020-02-22 17:04:15,-3.77,-49.67,84.07,68,100,4.74,light rain,0.13,0.0
136,Port Keats,AU,2020-02-22 17:04:15,-14.25,129.55,84.56,86,29,12.41,scattered clouds,0.0,0.0
137,Tura,IN,2020-02-22 17:04:15,25.52,90.22,69.8,40,96,4.52,overcast clouds,0.0,0.0
138,Oriximina,BR,2020-02-22 17:04:16,-1.77,-55.87,82.76,78,92,3.89,light rain,0.94,0.0
139,Talaya,RU,2020-02-22 17:04:16,61.38,152.75,-17.52,90,80,0.45,broken clouds,0.0,0.0
140,Edd,ER,2020-02-22 17:04:16,13.93,41.69,78.01,74,3,7.99,clear sky,0.0,0.0
141,Joue-Les-Tours,FR,2020-02-22 17:04:16,47.35,0.67,57.2,67,40,12.75,scattered clouds,0.0,0.0
142,Qaanaaq,GL,2020-02-22 17:04:17,77.48,-69.36,-14.96,64,100,4.36,overcast clouds,0.0,0.0
143,Kasempa,ZM,2020-02-22 17:04:17,-13.46,25.83,69.21,90,100,2.17,light rain,1.94,0.0
144,Isiro,CD,2020-02-22 17:04:17,2.77,27.62,82.9,38,87,3.47,overcast clouds,0.0,0.0
145,Beringovskiy,RU,2020-02-22 17:04:17,63.05,179.32,-11.22,96,15,2.15,few clouds,0.0,0.0
146,Labuhan,ID,2020-02-22 17:04:18,-6.88,112.21,75.31,92,78,2.26,light rain,0.69,0.0
147,Bayburt,TR,2020-02-22 17:04:18,40.26,40.23,27.3,97,100,3.42,snow,0.0,2.25
148,Quelimane,MZ,2020-02-22 17:04:18,-17.88,36.89,86.0,70,20,6.93,few clouds,0.0,0.0
149,Ostrovnoy,RU,2020-02-22 17:04:18,68.05,39.51,33.94,95,90,35.1,light snow,0.0,0.5
150,Trelew,AR,2020-02-22 17:01:40,-43.25,-65.31,86.59,6,0,17.27,clear sky,0.0,0.0
151,Acapulco,MX,2020-02-22 16:59:29,16.86,-99.89,87.8,45,5,5.82,clear sky,0.0,0.0
152,Provideniya,RU,2020-02-22 17:04:19,64.38,-173.3,-19.34,93,48,3.15,scattered clouds,0.0,0.0
153,Touros,BR,2020-02-22 17:04:19,-5.2,-35.46,87.8,70,75,11.41,broken clouds,0.0,0.0
154,Maceio,BR,2020-02-22 17:04:19,-9.67,-35.74,87.8,62,40,10.29,scattered clouds,0.0,0.0
155,Caravelas,BR,2020-02-22 17:04:19,-17.71,-39.25,81.88,84,55,16.02,broken clouds,0.0,0.0
156,Yumen,CN,2020-02-22 17:04:20,40.28,97.2,27.61,42,0,3.62,clear sky,0.0,0.0
157,Pangnirtung,CA,2020-02-22 17:04:20,66.15,-65.71,-32.8,59,20,3.36,few clouds,0.0,0.0
158,Faanui,PF,2020-02-22 17:04:20,-16.48,-151.75,81.46,77,3,10.83,light rain,0.87,0.0
159,Outjo,NA,2020-02-22 17:04:20,-20.12,16.15,68.0,94,63,1.12,broken clouds,0.0,0.0
160,Saskylakh,RU,2020-02-22 17:04:20,71.92,114.08,-16.1,94,73,4.12,broken clouds,0.0,0.0
161,Kempsey,AU,2020-02-22 17:04:21,-31.08,152.83,66.99,97,99,3.0,overcast clouds,0.0,0.0
162,Tirumullaivasal,IN,2020-02-22 17:04:21,11.23,79.83,80.71,76,100,17.09,light rain,0.13,0.0
163,Rikitea,PF,2020-02-22 17:04:21,-23.12,-134.97,77.94,72,10,5.06,light rain,0.44,0.0
164,Korla,CN,2020-02-22 17:04:21,41.76,86.15,39.99,53,0,1.99,clear sky,0.0,0.0
165,Satuk,TR,2020-02-22 17:04:21,41.23,32.38,27.3,98,100,2.91,light snow,0.0,1.0
166,Semnan,IR,2020-02-22 17:04:22,35.57,53.4,52.18,56,0,3.53,clear sky,0.0,0.0
167,Mandan,US,2020-02-22 17:04:22,46.83,-100.89,42.01,69,1,10.29,clear sky,0.0,0.0
168,Tikapur,NP,2020-02-22 17:04:22,28.5,81.13,64.0,73,0,7.0,clear sky,0.0,0.0
