,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
580,Turiacu,BR,83.95,scattered clouds,-1.66,-45.37,Pousada Borges
582,Poum,NC,80.67,clear sky,-20.23,164.02,Gîte kajeon
591,Yabelo,ET,76.26,scattered clouds,4.88,38.08,Asnakech W/michael
593,Cairns,AU,78.01,light intensity shower rain,-16.92,145.77,Mantra Trilogy Cairns
598,Salalah,OM,77.0,few clouds,17.02,54.09,HAMDAN PLAZA HOTEL
604,Guarapari,BR,82.4,scattered clouds,-20.67,-40.5,Hotel Porto do Sol
605,Tsihombe,BR,82.4,scattered clouds,-20.67,-40.5,Hotel Porto do Sol
608,Puerto Varas,CL,80.6,clear sky,-41.32,-72.99,Hotel Solace
609,Vicuna,CL,84.0,broken clouds,-30.03,-70.71,Los Mosaicos
614,Manadhoo,MV,83.66,overcast clouds,5.77,73.38,Reason Inn
619,Kenitra,MA,75.0,clear sky,34.26,-6.58,Bienvenue chez vous
